file	beg	end	text	speaker
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	67.62	67.98	Choicer	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	70.8	73.98	into that society. Jeffrey Crosser was born	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	74.25	79.22	and he died without seeing it returned to the way he knew it partly through his agency.	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	80.639	85.3	One can imagine the sight of the peasants drawn up outside the walls of the city,	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	85.58	99.22	throwing fear into the hearts of King Richard and his nobles of which Chaucer was won and barely escaped with his life after the reprisals that followed hard upon the unwillingness of privilege to dispense with his ornaments.	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	100.16	101.699	Fortunately, sir John	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	102.68	109.099	Festal me a judge in the course was a good friend of Chaucer's where the poet might not have lived to produce the works he did	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	110.169	113.319	as it was of the 120 projected tales.	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	113.569	113.699	Schuler	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	113.959	116.11	managed to complete only a handful.	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	116.459	118.879	And it is on these that his reputation rests.	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	120.11	121.37	And when a plague	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	121.589	124.769	like a guided missile struck down half of London,	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	125.22	129.41	it did so by bypassing the city's chief customs inspector	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	131.41	132.8	as Chaucer escaped	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	133.47	135.77	play and the rebellion of the peasants.	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	136.16	139.869	So I escaped not knowing you, et cetera, et cetera	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	150.94	151	with	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	151.179	151.199	you	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	154.979	156.75	with the language of the spirit.	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	157.279	160.399	One of the waist high metal ashtrays is on fire	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	162.22	164.399	uh in the lounge of the spirit.	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	166.139	168.679	I'm always on the verge of waking up in it	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	169.13	172.119	as that loop is clearly melted into the sky,	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	172.779	174.3	the sky in the shoe store	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	175.119	176.679	as it held with boats	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	176.86	179.779	and the way out were to paint everything turquoise	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	180.509	184.809	the night, crowded by stars, people drinking everything in sight,	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	185.699	186.6	a breath, taking	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	187.33	189.029	one city river to another.	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	189.47	190.539	Charred in the globe.	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	191.57	192.16	The engine,	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	214.69	216.3	the Brooklyne is capital	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	217.19	218.839	some canons for po the o	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	223.789	225.479	the Asia of New England,	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	226.72	228.25	the parasol bath,	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	229.509	231.21	the nose brand of shirt,	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	232.449	233.86	zero gold	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	235.419	236.679	well cookies.	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	238.119	239.6	The wind is spread.	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	240.77	243.22	The ruby threaded massage parlor,	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	244.789	247.13	the deflector of the night's June	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	248.52	248.83	Di	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	249.22	250.11	Omelets	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	251.61	253.259	the beray of age.	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	254.69	255.149	So j	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	256.618	258.338	the whale cartel	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	259.29	260.019	the green	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	260.209	261.13	fingered door	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	262.89	262.98	two,	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	264.209	265.839	the critic of peace.	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	267.88	268.97	What does deco	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	270.89	271.269	the	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	271.589	272.98	Zars of Tuscany	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	274.779	276.739	mortality reiterated	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	278.82	280.359	Hudson River of whitefish,	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	281.73	283.179	the foot weight on	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	284.88	286.989	B's distraction for the	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	287.269	287.579	hit	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	289.029	291.69	the second basement of composers.	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	296.22	297.04	I think that's Chopin.	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	298.779	299.85	I can check.	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	300.589	302.049	I've never been able to check before	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	303.39	304	I should check.	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	308.459	308.92	Yes.	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	311.29	312.69	Went tweezing	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	313.79	315.29	the light slur	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	316.239	318.059	the weekend divider.	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	319.359	321.22	The face is Moon Ring.	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	322.799	325.339	Ambitions. Green Monster.	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	326.79	327.13	The	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	327.459	328.489	Stigma Convention.	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	330.95	332.79	Hard carrier of the arts.	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	334.04	334.399	S	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	334.779	335.649	breathers.	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	336.829	338.69	The mouse that plucks the CTS	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	339.429	340.369	endlessness.	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	341.859	343.92	The anglophile of languages.	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	345.39	346.679	Wisdom's Turkey.	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	347.809	348.829	The gray sub.	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	351.079	352.739	The men can tolerate	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	354.429	355.73	tennis victims.	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	357.41	359.149	Sewer court of ballet.	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	360.529	362.14	The Netherlands of lives	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	363.559	364.109	the mouth	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	364.309	364.98	grounder,	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	366.13	367.75	the parasitic trade	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	369.88	370.779	and Jerry's	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	372.07	373.76	the pill pushing race.	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	375.91	378.109	The fish for midnight oil is cut	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	379.98	381.88	the cigarette pyromaniac.	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	383.2	384.739	The mosquito beach	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	386.2	388.649	sunsets hamburger Extender	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	390.839	391.989	Lebanese capital,	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	393.32	395.299	the gatling gun of despair.	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	396.75	398.329	The tongue motel.	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	399.579	400.69	Give me your	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	400.899	401.16	problem.	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	402.63	405.25	Sexual sexual liquid lunch,	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	407.179	407.35	delay	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	408.38	409.91	the world's coup.	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	410.799	412.66	The escape from sleep.	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	414.029	414.309	Li	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	414.66	415.16	of Jesse.	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	417.059	418.6	The shrub said he	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	419.809	422.339	the rum runners, Louisville Slugger.	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	423.739	425.32	The pen is cold	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	427.089	428.309	bookcase, stuffing.	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	429.799	431.82	The deflator of leisure,	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	433.119	434.769	the barber's friend,	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	436.269	438	the fried egg dish.	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	438.85	439.929	The winter manners.	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	441.19	443.01	The Clark drought west. Home	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	443.89	444.299	the hell	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	444.559	445.619	no hazard city.	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	446.6	448.459	The George Washington cover	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	450.29	452.07	the Schnitzel of the alps.	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	452.79	453.85	The smell wa	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	459.529	460.32	two more	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	468.97	469.75	mind	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	473.97	475.649	as farming and evening	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	475.88	477.13	taken together	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	477.39	478.26	are the same.	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	480.32	483.51	The morning air dents, a jar of tulips	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	484.01	488.299	and inter urban affairs are wasted with the dispatch of an elegant theory.	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	490.48	496.269	The empowerment of leaders begins its arduous journey through permanent display. Pink. A	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	496.54	498.7	parade of points. Green,	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	498.88	503.94	turning out products linking highway to art to meta abrasive.	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	506.049	506.07	Yeah,	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	507.179	510.25	through elevated channels causes the scale to	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	511.149	512.77	the council to abandon	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	524.95	526.45	can put a stump	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	529.159	530.179	the life taking	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	533.539	535.07	if I when I am sleeping	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	535.929	538.03	and Paula and the baby are sleeping	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	539.34	543.919	and the earth is a wheel on a blanket of emeralds held out at arm's length	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	544.76	548.08	to rotate. The smell of Gardenia, an ingenious honeysuckle.	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	549.59	552.929	Yet at the precise moment, the north light turns	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	553.219	557.159	illuminating the wildly creaking carriage against the east wall	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	557.96	562.9	showing the letter of boxes of unopened presents, five quotes, etcetera.	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	563.809	565.669	The paint beginning to peel,	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	567.27	570.77	rushing past cold insulation and stopped. But	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	572.059	572.349	10	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	573.33	577.46	and then I think the fathers of the world are out of their minds	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	578.099	579.4	getting up and use them	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	580.869	584.729	beds and padding on cold feet past the cold bathroom.	spk_0
s3://coghealth/poetry3/Antin-David_Complete_Seminar_University-Buffalo_3-27-03.wav	0.009	5.71	You know, gallons and gallons of gasoline and huge tankers that are explosive, that are flying explosives.	spk_0
s3://coghealth/poetry3/Antin-David_Complete_Seminar_University-Buffalo_3-27-03.wav	6.51	12.38	I mean, I don't know. I mean, II, I, you know, but they don't talk about that, that, you know, that, you know, they say that	spk_0
s3://coghealth/poetry3/Antin-David_Complete_Seminar_University-Buffalo_3-27-03.wav	12.71	19.17	the food nearly didn't reach the f the, the troops, let alone the humanitarian aid. The food nearly didn't reach them for the next two days.	spk_0
